BenchmarkJSON/UTF8Mixed/Unmarshal    32877	     11293 ns/op	 906.94 MB/s	     11376 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    30954	     10925 ns/op	 937.52 MB/s	     10950 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    33804	     10644 ns/op	 962.20 MB/s	     10683 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    29764	     11682 ns/op	 876.70 MB/s	     11754 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    31777	     10821 ns/op	 946.48 MB/s	     10855 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    34464	     10371 ns/op	 987.52 MB/s	     10406 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    32600	     11995 ns/op	 853.88 MB/s	     12026 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    34095	     11357 ns/op	 901.80 MB/s	     11399 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    33302	     10561 ns/op	 969.80 MB/s	     10602 cpu-ns/op	   10240 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    21511	     16254 ns/op	1115.03 MB/s	     16308 cpu-ns/op	   18436 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    21799	     16139 ns/op	1122.99 MB/s	     16170 cpu-ns/op	   18436 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    22344	     16077 ns/op	1127.32 MB/s	     16032 cpu-ns/op	   18436 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    20822	     16625 ns/op	1090.15 MB/s	     16678 cpu-ns/op	   18436 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    15856	     22798 ns/op	 795.00 MB/s	     22843 cpu-ns/op	   18438 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    23524	     15362 ns/op	1179.81 MB/s	     15407 cpu-ns/op	   18436 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    23134	     15564 ns/op	1164.47 MB/s	     15646 cpu-ns/op	   18436 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    20880	     16900 ns/op	1072.41 MB/s	     16998 cpu-ns/op	   18436 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    15608	     24162 ns/op	 750.10 MB/s	     24227 cpu-ns/op	   18438 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal    20205	     17014 ns/op	1065.23 MB/s	     17057 cpu-ns/op	   18436 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal    10000	     33917 ns/op	 534.37 MB/s	     34034 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     7658	     53306 ns/op	 340.00 MB/s	     53443 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal    10000	     33445 ns/op	 541.91 MB/s	     33623 cpu-ns/op	   15473 B/op	      49 allocs/op
