BenchmarkJSON/StringEscaped/Marshal     8721	     38765 ns/op	1085.05 MB/s	   18442 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     8779	     40304 ns/op	1043.63 MB/s	   18442 B/op	       1 allocs/op
BenchmarkJSON/GolangSource/Marshal       50	   7209204 ns/op	 269.17 MB/s	 2153378 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       49	   7244046 ns/op	 267.87 MB/s	 2157699 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       51	   6794558 ns/op	 285.59 MB/s	 2149224 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       50	   7051331 ns/op	 275.19 MB/s	 2153378 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       49	   7066834 ns/op	 274.59 MB/s	 2157699 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       51	   6757795 ns/op	 287.15 MB/s	 2149224 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       49	   7038024 ns/op	 275.71 MB/s	 2157699 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       36	   8515742 ns/op	 227.87 MB/s	 2235763 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       37	   8167081 ns/op	 237.60 MB/s	 2227810 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       50	   7045650 ns/op	 275.41 MB/s	 2153376 B/op	       2 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      243	   1410759 ns/op	 447.64 MB/s	  520524 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      262	   1364110 ns/op	 462.95 MB/s	  519766 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      270	   1359824 ns/op	 464.41 MB/s	  519479 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      207	   1556699 ns/op	 405.67 MB/s	  522342 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      262	   1386744 ns/op	 455.39 MB/s	  519766 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      250	   1385227 ns/op	 455.89 MB/s	  520232 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      218	   1609896 ns/op	 392.27 MB/s	  521718 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      247	   1418967 ns/op	 445.05 MB/s	  520355 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      267	   1368986 ns/op	 461.30 MB/s	  519585 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      219	   1891953 ns/op	 333.79 MB/s	  521670 B/op	      89 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      223	   1520171 ns/op	 177.88 MB/s	  283866 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      241	   2892139 ns/op	  93.50 MB/s	  283469 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      112	   3096083 ns/op	  87.34 MB/s	  289141 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      162	   1939503 ns/op	 139.42 MB/s	  285871 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      124	   2830798 ns/op	  95.52 MB/s	  288116 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      261	   1336653 ns/op	 202.30 MB/s	  283091 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      100	   6426342 ns/op	  42.08 MB/s	  290414 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      211	   1742518 ns/op	 155.18 MB/s	  284169 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      208	   1662045 ns/op	 162.69 MB/s	  284250 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      246	   1511436 ns/op	 178.90 MB/s	  283368 B/op	       1 allocs/op
