comparison,case,op,repeat,binary,n,Ir,Bc,Bcm,Bi,Bim
original-simd,TwitterStatus,Marshal,1,scalar,3,12893629.666666666,1861846.3333333333,55553.0,16932.333333333332,8129.0
original-simd,TwitterStatus,Marshal,2,scalar,3,12894911.333333334,1862065.6666666667,55566.666666666664,16934.666666666668,8129.666666666667
original-simd,TwitterStatus,Marshal,2,current,3,12234350.666666666,1744156.6666666667,58520.0,16937.0,8131.0
original-simd,TwitterStatus,Unmarshal,0,scalar,3,33621288.0,6976476.0,248712.33333333334,16601.0,7514.0
original-simd,TwitterStatus,Unmarshal,0,current,3,31849796.0,5719893.0,211013.66666666666,16602.666666666668,7503.666666666667
original-simd,TwitterStatus,Unmarshal,1,current,3,31849755.0,5720359.0,211335.66666666666,16600.666666666668,7503.0
original-simd,TwitterStatus,Unmarshal,1,scalar,3,33607430.0,6975346.333333333,248653.33333333334,16600.666666666668,7513.666666666667
original-simd,TwitterStatus,Unmarshal,2,scalar,3,33626262.0,6976715.666666667,249054.33333333334,16600.666666666668,7513.666666666667
original-simd,TwitterStatus,Unmarshal,2,current,3,31858308.666666668,5720838.0,210690.33333333334,16600.666666666668,7503.0
original-simd,CanadaGeometry,Marshal,0,scalar,3,14282526.333333334,2157549.6666666665,69775.0,21957.666666666668,972.0
original-simd,CanadaGeometry,Marshal,0,current,3,14283358.666666666,2157617.0,73370.33333333333,21964.333333333332,972.6666666666666
original-simd,CanadaGeometry,Marshal,1,current,3,14283555.0,2157668.0,73380.0,21964.666666666668,972.6666666666666
original-simd,CanadaGeometry,Marshal,1,scalar,3,14282415.0,2157522.3333333335,69774.0,21957.666666666668,972.0
original-simd,CanadaGeometry,Marshal,2,scalar,3,14282590.666666666,2157572.3333333335,69772.66666666667,21957.666666666668,972.0
original-simd,CanadaGeometry,Marshal,2,current,3,14282759.666666666,2157582.3333333335,73366.0,21957.666666666668,972.0
original-simd,CanadaGeometry,Unmarshal,0,scalar,3,29603499.0,6146169.666666667,233804.33333333334,21956.666666666668,971.6666666666666
original-simd,CanadaGeometry,Unmarshal,0,current,3,29610783.0,6145837.333333333,215342.66666666666,21956.666666666668,971.6666666666666
original-simd,CanadaGeometry,Unmarshal,1,current,3,29610783.0,6145837.333333333,215342.66666666666,21956.666666666668,971.6666666666666
original-simd,CanadaGeometry,Unmarshal,1,scalar,3,29603692.0,6146197.333333333,233812.0,21956.666666666668,971.6666666666666
original-simd,CanadaGeometry,Unmarshal,2,scalar,3,29603668.0,6146193.333333333,233811.33333333334,21956.666666666668,971.6666666666666
original-simd,CanadaGeometry,Unmarshal,2,current,3,29610807.0,6145841.333333333,215343.33333333334,21956.666666666668,971.6666666666666
ascii-quote-runs,Small,Marshal,0,current,200,4466.89,615.195,23.85,13.03,4.055
ascii-quote-runs,Small,Marshal,0,encode,200,4550.89,639.195,27.855,13.03,4.055
ascii-quote-runs,Small,Marshal,1,encode,200,4526.89,635.195,26.855,13.03,4.055
ascii-quote-runs,Small,Marshal,1,current,200,4466.89,615.195,23.85,13.03,4.055
ascii-quote-runs,Small,Marshal,2,current,200,4466.85,615.185,23.85,13.03,4.055
ascii-quote-runs,Small,Marshal,2,encode,200,4526.89,635.195,26.855,13.03,4.055
ascii-quote-runs,ASCII8,Marshal,0,current,200,1323.08,187.91,3.085,6.01,0.04
ascii-quote-runs,ASCII8,Marshal,0,encode,200,1312.08,191.91,3.09,6.01,0.04
ascii-quote-runs,ASCII8,Marshal,1,encode,200,1312.08,191.91,3.09,6.01,0.04
ascii-quote-runs,ASCII8,Marshal,1,current,200,1323.08,187.91,3.085,6.01,0.04
ascii-quote-runs,ASCII8,Marshal,2,current,200,1323.08,187.91,3.085,6.01,0.04
ascii-quote-runs,ASCII8,Marshal,2,encode,200,1312.08,191.91,3.09,6.01,0.04
ascii-quote-runs,ASCII32,Marshal,0,current,200,1317.03,176.215,2.47,6.025,0.05
ascii-quote-runs,ASCII32,Marshal,0,encode,200,1345.03,180.215,2.48,6.025,0.05
