BenchmarkJSON/TwitterStatus/Unmarshal      122	   2914808 ns/op	 216.66 MB/s	   2921902 cpu-ns/op	  209431 B/op	    2533 allocs/op
BenchmarkJSON/Records/Marshal     2378	    152895 ns/op	 188.96 MB/s	    153308 cpu-ns/op	   32834 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2547	    148021 ns/op	 195.18 MB/s	    148460 cpu-ns/op	   32830 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2353	    148318 ns/op	 194.79 MB/s	    148861 cpu-ns/op	   32835 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2640	    150174 ns/op	 192.38 MB/s	    150564 cpu-ns/op	   32828 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2590	    152692 ns/op	 189.21 MB/s	    152713 cpu-ns/op	   32829 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2547	    151212 ns/op	 191.06 MB/s	    151800 cpu-ns/op	   32830 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2371	    153091 ns/op	 188.72 MB/s	    153526 cpu-ns/op	   32834 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2427	    146482 ns/op	 197.23 MB/s	    146875 cpu-ns/op	   32833 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2518	    153240 ns/op	 188.53 MB/s	    153592 cpu-ns/op	   32830 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2396	    146718 ns/op	 196.92 MB/s	    147329 cpu-ns/op	   32833 B/op	       1 allocs/op
BenchmarkJSON/Records/Unmarshal     1370	    271099 ns/op	 106.57 MB/s	    271682 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1387	    277590 ns/op	 104.08 MB/s	    278249 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1414	    265454 ns/op	 108.84 MB/s	    266120 cpu-ns/op	    3299 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1078	    280210 ns/op	 103.10 MB/s	    280689 cpu-ns/op	    3301 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1134	    272131 ns/op	 106.17 MB/s	    272882 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1161	    266315 ns/op	 108.48 MB/s	    267214 cpu-ns/op	    3300 B/op	     256 allocs/op
