BenchmarkJSON/TwitterStatus/Unmarshal       67	   3528135 ns/op	 178.99 MB/s	  209409 B/op	    2531 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       75	   3262899 ns/op	 193.54 MB/s	  209398 B/op	    2531 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       70	   3151904 ns/op	 200.36 MB/s	  209404 B/op	    2531 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       86	   3049473 ns/op	 207.09 MB/s	  209386 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       81	   2901129 ns/op	 217.68 MB/s	  209388 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       87	   3148144 ns/op	 200.60 MB/s	  209384 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       72	   3094640 ns/op	 204.07 MB/s	  209400 B/op	    2531 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       76	   3072006 ns/op	 205.57 MB/s	  209395 B/op	    2531 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       72	   3207763 ns/op	 196.87 MB/s	  209401 B/op	    2531 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       86	   3024012 ns/op	 208.83 MB/s	  209384 B/op	    2530 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       98	   2474283 ns/op	 109.29 MB/s	      56 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      100	   2518170 ns/op	 107.38 MB/s	      55 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       88	   2488516 ns/op	 108.66 MB/s	      63 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       85	   3445718 ns/op	  78.48 MB/s	      65 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       99	   2532486 ns/op	 106.77 MB/s	      56 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       82	   2637424 ns/op	 102.53 MB/s	      67 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       92	   3638291 ns/op	  74.32 MB/s	      60 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       99	   2634963 ns/op	 102.62 MB/s	      56 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       79	   2738650 ns/op	  98.74 MB/s	      70 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       82	   2599303 ns/op	 104.03 MB/s	      67 B/op	       0 allocs/op
